ד 	181	ב 	151	ד 	121	א 	91	א 	61	א 	31	א 	1
ג 	182	ב 	152	ד 	122	ד 	92	א 	62	ד 	32	ב 	2
ד 	183	ד 	153	ד 	123	א 	93	ג 	63	ב 	33	ד 	3
ב 	184	א 	154	א 	124	ד 	94	א 	64	ב 	34	א 	4
ד 	185	א 	155	ג 	125	א 	95	ד 	65	ב 	35	א 	5
א 	186	ד 	156	א 	126	א 	96	ב 	66	ג 	36	א 	6
א 	187	א 	157	ב 	127	ד 	97	ב 	67	ד 	37	ג 	7
א 	188	ד 	158	ג 	128	ג 	98	ד 	68	ד 	38	ב 	8
ב 	189	ב 	159	ב 	129	ג 	99	ד 	69	ג 	39	א 	9
ג 	190	ב 	160	ב 	130	ב 	100	ב 	70	ג 	40	ב 	10
ב 	191	ב 	161	ד 	131	ד 	101	ב 	71	ב 	41	א 	11
א 	192	א 	162	ג 	132	ב 	102	ב 	72	ב 	42	ג 	12
א 	193	ד 	163	ב 	133	ד 	103	ד 	73	ד 	43	ד 	13
Z	193	ד 	164	א 	134	א 	104	ד 	74	ב 	44	א 	14
Z	193	א 	165	ב 	135	ד 	105	ד 	75	ג 	45	ג 	15
Z	193	ב 	166	ד 	136	ג 	106	ד 	76	ב 	46	ג 	16
Z	193	ג 	167	ד 	137	א 	107	ד 	77	ב 	47	ב 	17
Z	193	ב 	168	ג 	138	ג 	108	ד 	78	א 	48	ב 	18
Z	193	א 	169	ג 	139	ב 	109	א 	79	ד 	49	א 	19
Z	193	א 	170	ד 	140	ב 	110	ד 	80	א 	50	ד 	20
Z	193	ג 	171	ב 	141	א 	111	ד 	81	א 	51	ב 	21
Z	193	ב 	172	ד 	142	ג 	112	ד 	82	ד 	52	ד 	22
Z	193	ד 	173	ג 	143	א 	113	ב 	83	ג 	53	א 	23
Z	193	א 	174	ד 	144	ד 	114	א 	84	א 	54	א 	24
Z	193	ב 	175	ד 	145	ב 	115	א 	85	ב 	55	ג 	25
Z	193	ב 	176	ד 	146	ד 	116	ד 	86	ג 	56	ג 	26
Z	193	א 	177	ב 	147	א 	117	א 	87	ד 	57	ד 	27
Z	193	ב 	178	א 	148	ג 	118	ג 	88	ב 	58	ד 	28
Z	193	ג 	179	ד 	149	א 	119	ב 	89	ג 	59	ד 	29
Z	193	ב 	180	א 	150	ד 	120	ד 	90	ד 	60	ד 	30
