א 	361	א 	301	א 	241	ד 	181	ג 	121	ד 	61	ב 	1
ג 	362	ב 	302	א 	242	ב 	182	ד 	122	א 	62	ד 	2
Z	363	ד 	303	ד 	243	ב 	183	א 	123	א 	63	א 	3
Z	364	ג 	304	ב 	244	א 	184	ב 	124	ג 	64	א 	4
Z	365	א 	305	ב 	245	ד 	185	ג 	125	א 	65	ג 	5
Z	366	ג 	306	ב 	246	ב 	186	ב 	126	ג 	66	ד 	6
Z	367	ג 	307	ג 	247	א 	187	ג 	127	א 	67	ד 	7
Z	368	ב 	308	ד 	248	א 	188	ב 	128	ג 	68	ג 	8
Z	369	ג 	309	ב 	249	ג 	189	ב 	129	ג 	69	א 	9
Z	370	ד 	310	ג 	250	ד 	190	ד 	130	ג 	70	א 	10
Z	371	ג 	311	א 	251	ב 	191	ב 	131	ג 	71	ד 	11
Z	372	ב 	312	ג 	253	א 	192	ב 	132	ב 	72	ג 	12
Z	373	א 	313	ב 	253	ב 	193	ד 	133	ג 	73	א 	13
Z	374	ד 	314	ד 	254	א 	194	א 	134	ג 	74	ב 	14
Z	375	ב 	315	ב 	255	ג 	195	ג 	135	א 	75	ב 	15
Z	376	ב 	316	ד 	256	ב 	196	א 	136	ב 	76	ב 	16
Z	377	א 	317	ג 	257	א 	197	ד 	137	ב 	77	ד 	17
Z	378	ד 	318	ג 	258	ד 	198	ג 	138	ג 	78	ג 	18
Z	379	ב 	319	א 	259	ד 	199	ד 	139	ד 	79	ב 	19
Z	380	ד 	320	ד 	260	ד 	200	ב 	140	א 	80	ד 	20
Z	381	ד 	321	ג 	261	ב 	201	ג 	141	ב 	81	ב 	21
Z	382	ד 	322	ב 	262	ג 	202	ג 	142	ב 	82	א 	22
Z	383	א 	323	א 	263	ג 	203	ב 	143	ג 	83	א 	23
Z	384	א 	324	א 	264	ג 	204	ד 	144	א 	84	ב 	24
Z	385	ד 	325	ד 	265	ד 	205	ב 	145	ג 	85	ג 	25
Z	386	ג 	326	א 	266	ד 	206	א 	146	ד 	86	ב 	26
Z	387	ב 	327	ד 	267	ד 	207	ג 	147	ג 	87	ד 	27
Z	388	ג 	328	ד 	268	ד 	208	ד 	148	ג 	88	א 	28
Z	389	ג 	329	ג 	269	ב 	209	ד 	149	ג 	89	ד 	29
Z	390	ב 	330	א 	270	ג 	210	ב 	150	א 	90	ד 	30
Z	391	א 	331	א 	271	ד 	211	ב 	151	ב 	91	ג 	31
Z	392	א 	332	א 	272	ד 	212	ב 	152	ב 	92	ב 	32
Z	393	ג 	333	ג 	273	א 	213	ג 	153	ג 	93	ג 	33
Z	394	ג 	334	ד 	274	ג 	214	ד 	154	א 	94	ג 	34
Z	395	ג 	335	ג 	275	א 	215	ג 	155	ג 	95	א 	35
Z	396	ב 	336	א 	276	ג 	216	ב 	156	ד 	96	ג 	36
Z	397	ב 	337	א 	277	א 	217	ב 	157	ב 	97	א 	37
Z	398	ב 	338	א 	278	ג 	218	א 	158	א 	98	א 	38
Z	399	ג 	339	ג 	279	א 	219	ב 	159	ג 	99	ג 	39
Z	400	ב 	340	ד 	280	ג 	220	ב 	160	ב 	100	ג 	40
Z	401	ד 	341	ד 	281	ד 	221	א 	161	ד 	101	ג 	41
Z	402	ב 	342	ב 	282	ג 	222	ד 	162	א 	102	ב 	42
Z	403	א 	343	ב 	283	ג 	223	ד 	163	ג 	103	א 	43
Z	404	ב 	344	ד 	284	ד 	224	ד 	164	א 	104	ד 	44
Z	405	ג 	345	א 	285	ב 	225	ג 	165	א 	105	ב 	45
Z	406	ב 	346	ד 	286	א 	226	א 	166	ג 	106	א 	46
Z	407	ב 	347	ג 	287	ד 	227	ג 	167	א 	107	ג 	47
Z	408	ב 	348	ב 	288	ג 	228	ג 	168	א 	108	ג 	48
Z	409	ד 	349	ד 	289	ד 	229	ד 	169	ד 	109	ב 	49
Z	410	ב 	350	א 	290	ג 	230	ג 	170	ב 	110	ג 	50
Z	411	ב 	351	ב 	291	ג 	231	ב 	171	ג 	111	א 	51
Z	412	ג 	352	ג 	292	א 	232	ג 	172	ג 	112	ג 	52
Z	413	ג 	353	ד 	293	ג 	233	א 	173	ג 	113	ב 	53
Z	414	ג 	354	ג 	294	ג 	234	ג 	174	ב 	114	ג 	54
Z	415	א 	355	ג 	295	ג 	235	ג 	175	ב 	115	ג 	55
Z	416	ב 	356	ב 	296	ג 	236	ב 	176	ג 	116	ב 	56
Z	417	ב 	357	א 	297	ג 	237	ב 	177	ב 	117	ד 	57
Z	418	ד 	358	ד 	298	ג 	238	ב 	178	ד 	118	ג 	58
Z	419	ג 	359	ג 	299	ב 	239	א 	179	ד 	119	ב 	59
Z	420	ד 	360	ב 	300	ב 	240	ב 	180	ד 	120	ב 	60
